Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),End year of entry. Set to "current" if entry is still ongoing.,"Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume.
data_science_writings,[Pharmacists in General Practice](https://www.davidfong.org/project/pharmacyinpractice_2020/),"Melbourne, Australia",[coHealth community health service](http://www.cohealth.org.au),,2020,,,,TRUE
data_science_writings,"[Contributions to `dbplyr`, a database backend for R tidyverse `dplyr`](https://github.com/tidyverse/dbplyr/commits?author=DavidPatShuiFong)",,[Posit](https://posit.co/),2020,2021,improvements and corrections to `dbplyr` interactions with Microsoft SQL Server,,,TRUE
data_science_writings,[Contributions to Best Practice electronic medical record SQL search forum](https://forum.bpsoftware.net/members/davidfong.14539/#recent-content),,[Best Practice](https://bpsoftware.net/),2018,,"custom SQL scripts for practice improvement activities, including finding patients eligible for vaccination, prescription monitoring, finding allergy status, finding duplicate files, searching for patients living in particular addresses, searching for specific entries in the comment field and missed billing opportunities.",,,TRUE
data_science_writings,[`DailyMeasure` and `dMeasure` - R libraries for interacting with the Best Practice electronic medical record system](https://github.com/DavidPatShuiFong/DailyMeasure),,,2019,,,,,TRUE
teaching_positions,Community Teaching Assistant (TA),edX,Massachusetts Institute of Technology,,2019,Teaching Assistant for 'Designing and Running Randomized Evaluations',,,TRUE
teaching_positions,Honorary Clinical Teacher,"Traralgon, Victoria","Centre for Rural Health, Monash University",1998,2001,,,,TRUE
teaching_positions,Clinical supervisor of University of Melbourne undergraduate students,,University of Melbourne,2008,2019,,,,TRUE
teaching_positions,Clinical supervisor of general practice registrars (trainees),,[Murray City Country Coast (MCCC) general practice training](http://www.mccc.com.au),2015,2023,,,,TRUE
teaching_positions,Clinical supervisor of general practice registrars (trainees),,Victorian Metropolitan Alliance,2009,2014,,,,
academic_articles,"Assessment of vitamin D and its association with cardiovascular disease risk factors in an adult migrant population: an audit of patient records at a Community Health Centre in Kensington, Melbourne, Australia","*BMC Cardiovascular Disorders* vol. 14, Article number: 157",,2014,2014,"authored with Thilanga Ruwanpathirana, Christopher M Reid, Alice J Owen, Usha Gowda, Andre M N Renzaho",,,TRUE
academic_articles,Usage of complementary medicine among children,"Australian Family Physician, April 2002. 31(4):388–391",,2002,2002,authored with Lee Fong,,,TRUE
academic_articles,Prevalence of vitamin D insufficiency and risk factors for type 2 diabetes and cardiovascular disease among African migrant and refugee adults in Melbourne: a pilot study,Asia Pacific Journal Clinical Nutrition 2011;20(3):397–403,,2011,2011,"authored with Renzaho AM, Nowson C, Kaur A, Halliday JA, Desilva J",,,TRUE
academic_articles,Vitamin D testing patterns among general practitioners in a major Victorian primary health care service,"Australia and New Zealand Journal of Public Health, 2015",,2015,2015,"authored with Usha Gowda, Ben J. Smith, Anita E. Wluka, Ambika Kaur, Andre M.N. Renzaho",,,TRUE
academic_articles,Efficacy of high dose Vitamin D supplementation in improving serum 25(OH)D among migrant and non migrant population: a retrospective study,BMC Health Services Research (2016) 16:579,,2016,2016,"authored with Usha Gowda, Thilanga Ruwanpathirana, Ambika Kaur and Andre M. N. Renzaho",,,TRUE
